,name,privacy,id,community
0,Есть новость!,OPEN,236505228074130,0
1,тестовая группа,SECRET,1370801703258920,0
2,Картинки для соц. сети,SECRET,703449897026228,0
3,Биотехнологии,SECRET,1046820615813183,0
4,ЦКМЖ,SECRET,228615472216472,0
5,Руководители,SECRET,3933793893306445,0
6,Первое знакомство,OPEN,755116555228831,0
7,В кругу Инновационного центра,OPEN,3126183630758729,0
8,тест программатор,SECRET,832984290507148,0
9,ПСК,SECRET,622548491862569,0
10,Первая помощь начинающим,OPEN,194738415100098,0
11,Программы развития и аттестация,OPEN,193811101859095,0
12,Стартапы,OPEN,2653644168006377,0
13,Дайджесты,OPEN,2756340234427932,0
14,"""Шабашки""",SECRET,2205854129716232,0
15,Внешние научные коммуникации,OPEN,475927063334187,0
16,Корпоративная культура,OPEN,2492972880963900,0
17,Концепции и цели инновационной деятельности,OPEN,1026120327730312,0
18,Workplace Admins Community,CLOSED,868270109972267,0
19,Содружество,SECRET,725978448058316,0
20,11. Я и Мир Вокруг,CLOSED,2141912795932640,1
21,3. ПЕРВАЯ ПОМОЩЬ НАЧИНАЮЩИМ,OPEN,178248256813689,1
22,2. ПЕРВЫЙ ПРОЕКТ,OPEN,879260912513148,1
23,1. ПЕРВОЕ ЗНАКОМСТВО,OPEN,653983142073730,1
24,8. ВНЕШНИЙ МИР,OPEN,196627868201034,1
25,4. ДАЙДЖЕСТЫ,OPEN,3017655098265236,1
26,"7. ""ШАБАШКИ""",OPEN,2306497192987380,1
27,9. ЭФФЕКТИВНОСТЬ И ЕЕ ПРИЧИНЫ,OPEN,486890315289114,1
28,10. ПРОГРАММЫ РАЗВИТИЯ И АТТЕСТАЦИЯ,OPEN,855244771570774,1
29,6. КОРПОРАТИВНАЯ КУЛЬТУРА,OPEN,225290775164006,1
30,5. КОНЦЕПЦИИ И ЦЕЛИ ДЕЯТЕЛЬНОСТИ,OPEN,3001991489831888,1
31,Содружество,SECRET,725978448058316,1
32,Лиманов ковчег,CLOSED,243838336689374,1
33,Корпоративная культура,OPEN,266768871766641,2
34,Программы развития и аттестация,OPEN,678464469798989,2
35,Социально-экономические отношения,OPEN,140572258227793,2
36,Внешние коммуникации,OPEN,266642198334570,2
37,"""Шабашки""",OPEN,1716269125250551,2
38,Концепции и цели деятельности,OPEN,359559455719377,2
39,Дайджесты,OPEN,3018231515086316,2
40,Формальная ассимиляция,OPEN,204433938394995,2
41,Неформальная ассимиляция,OPEN,335331451660654,2
42,"Рекрутинг (""Первое знакомство"")",OPEN,552778072737648,2
43,Тест,SECRET,537779020509373,2
44,11. НАУЧНЫЕ ИССЛЕДОВАНИЯ,CLOSED,248306809697955,3
45,12. ОЦЕНКА КАЧЕСТВА ПРЕПОДАВАНИЯ,OPEN,233381531245706,3
46,11.1. ЛИТЕРАТУРА ПО ПСИХОЛОГИИ,CLOSED,1155811774755478,3
47,13. ИНТЕРЕСНЫЕ МАТЕРИАЛЫ,OPEN,2655071848089934,3
48,7. ТЕКУЩАЯ ДЕЯТЕЛЬНОСТЬ НИУМД,OPEN,585029195689141,3
49,8. ВНЕШНИЕ КОММУНИКАЦИИ,OPEN,139429180789589,3
50,9. СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ОТНОШЕНИЯ,CLOSED,196849614937639,3
51,10. ПРОГРАММЫ РАЗВИТИЯ И АТТЕСТАЦИЯ,CLOSED,527012418211971,3
52,5. КОНЦЕПЦИИ И ЦЕЛИ НИУМД,CLOSED,204857340608670,3
53,6. КОРПОРАТИВНАЯ КУЛЬТУРА,CLOSED,601988647050356,3
54,4. ДАЙДЖЕСТЫ,OPEN,847112069135589,3
55,3. НЕФОРМАЛЬНАЯ АССИМИЛЯЦИЯ,OPEN,215484462893443,3
56,2. ФОРМАЛЬНАЯ АССИМИЛЯЦИЯ,OPEN,547279389239758,3
57,1. РЕКРУТИНГ,OPEN,507719119908683,3
